tag,opcode,mnemonic,type
LOG_REG,0x50,log,singleReg
LOG_REG_PTR,0x51,log,regPtr
LOG_MEM,0x52,log,singleMem
MOV8_LIT_MEM,0x71,mov8,litMem
MOV8_MEM_REG,0x72,mov8,memReg
MOVL_REG_MEM,0x73,movl,regMem
MOVH_REG_MEM,0x74,movh,regMem
MOV8_REG_PTR_REG,0x76,mov8,regPtrReg
MOV8_REG_REG_PTR,0x77,mov8,regRegPtr
INT_LIT,0xfd,int,singleLit
INT_REG,0xf1,int,singleReg
RET_INT,0xfc,rti,noArgs
MOV_LIT_REG,0x10,mov,litReg
MOV_REG_REG,0x11,mov,regReg
MOV_REG_REG_PTR,0x70,mov,regRegPtr
MOV_REG_MEM,0x12,mov,regMem
MOV_MEM_REG,0x13,mov,memReg
MOV_LIT_MEM,0x1b,mov,litMem
MOV_REG_PTR_REG,0x1c,mov,regPtrReg
MOV_LIT_OFF_REG,0x1d,mov,litOffReg
ADD_REG_REG,0x14,add,regReg
ADD_LIT_REG,0x3f,add,litReg
SUB_LIT_REG,0x16,sub,litReg
SUB_REG_LIT,0x1e,sub,regLit
SUB_REG_REG,0x1f,sub,regReg
INC_REG,0x35,inc,singleReg
DEC_REG,0x36,dec,singleReg
MUL_LIT_REG,0x20,mul,litReg
MUL_REG_REG,0x21,mul,regReg
LSF_REG_LIT,0x26,lsf,regLit8
LSF_REG_REG,0x27,lsf,regReg
RSF_REG_LIT,0x2a,rsf,regLit8
RSF_REG_REG,0x2b,rsf,regReg
AND_REG_LIT,0x2e,and,regLit
AND_REG_REG,0x2f,and,regReg
OR_REG_LIT,0x30,or_,regLit
OR_REG_REG,0x31,or_,regReg
XOR_REG_LIT,0x32,xor,regLit
XOR_REG_REG,0x33,xor,regReg
NOT,0x34,not,singleReg
JMP_NOT_EQ,0x15,jne,litMem
JNE_REG,0x40,jne,regMem
JEQ_REG,0x3e,jeq,regMem
JEQ_LIT,0x41,jeq,litMem
JLT_REG,0x42,jlt,regMem
JLT_LIT,0x43,jlt,litMem
JGT_REG,0x44,jgt,regMem
JGT_LIT,0x45,jgt,litMem
JLE_REG,0x46,jle,regMem
JLE_LIT,0x47,jle,litMem
JGE_REG,0x48,jge,regMem
JGE_LIT,0x49,jge,litMem
PSH_LIT,0x17,psh,singleLit
PSH_REG,0x18,psh,singleReg
POP,0x1a,pop,singleReg
CAL_LIT,0x5e,cal,singleLit
CAL_REG,0x5f,cal,singleReg
RET,0x60,ret,noArgs
HLT,0xff,hlt,noArgs
BRK,0xfb,brk,noArgs
MEM_MODE_SET,0xfe,mms,singleLit8
SEND_SIG,0xfa,sig,singleReg
REAL_REG_PTR,0x01,rav,regReg
REAL_MEM,0x02,rav,memReg
